Id,Area(total),Trooms,Nbedrooms,Nbwashrooms,Twashrooms,roof,Roof(Area),Lawn(Area),Nfloors,API,ANB,Expected price,Grade
462,352,7,6,6,7,YES,70,93,3,51,5,4232,C
463,326,6,5,4,5,YES,107,108,2,66,3,3410,D
464,296,5,4,3,4,YES,98,72,1,83,1,3458,D
465,350,9,8,8,9,YES,75,85,6,79,1,4304,A
466,352,9,8,7,9,NO,0,96,5,40,4,4485,A
467,296,9,6,5,7,NO,0,71,7,57,4,4440,B
468,339,8,7,6,7,YES,105,77,5,93,4,4370,B
469,322,8,6,6,8,YES,82,110,5,94,4,3712,B
470,349,6,4,3,5,NO,0,105,2,77,4,3625,D
471,290,9,6,5,6,NO,0,117,7,59,5,3915,B
472,355,6,5,5,6,YES,119,82,2,53,6,3987,C
473,359,7,4,3,4,YES,73,113,5,43,2,4387,C
474,334,9,8,7,8,YES,102,118,5,74,4,4286,A
475,345,8,5,5,7,NO,0,85,6,83,6,4178,C
476,297,8,5,5,6,NO,0,97,4,85,6,3812,C
477,328,9,7,6,8,YES,70,114,5,96,3,4327,A
478,352,6,5,5,7,NO,0,105,3,50,6,3352,D
479,300,9,8,7,9,YES,89,84,6,45,4,3780,A
480,336,9,8,7,8,NO,0,103,5,69,3,4373,A
481,348,5,4,4,6,NO,0,101,3,77,5,2789,D
482,290,9,7,7,8,NO,0,113,7,58,2,4253,B
483,325,8,5,4,5,NO,0,115,6,77,3,3739,C
484,341,9,6,5,7,NO,0,108,6,64,6,4422,B
485,349,8,7,7,8,NO,0,79,6,87,6,4607,B
486,307,6,4,4,6,YES,110,95,3,64,5,3368,D
487,313,7,5,4,6,YES,93,112,4,78,1,4123,C
488,310,8,5,4,6,YES,101,86,4,50,3,3656,C
489,333,6,3,3,5,NO,0,72,4,90,1,3583,D
490,315,6,5,4,6,NO,0,96,3,51,2,3515,D
491,308,8,7,7,9,NO,0,118,4,53,4,4381,B
492,339,5,4,4,5,NO,0,73,3,63,6,3511,D
493,297,8,7,6,7,YES,83,109,4,99,1,4146,B
494,335,6,3,3,5,NO,0,100,2,95,4,3372,D
495,340,9,7,6,8,NO,0,94,7,55,5,4590,A
496,329,7,6,5,7,YES,118,107,4,45,5,3684,C
497,343,9,8,8,10,YES,109,85,7,98,2,4966,A
498,297,7,6,5,6,NO,0,78,3,58,4,3166,D
499,301,9,6,6,7,NO,0,105,7,67,3,4161,B
500,326,8,5,5,6,YES,95,113,5,68,3,3936,C
501,355,5,4,4,5,YES,109,83,3,58,3,3686,D
502,308,8,6,5,6,YES,115,86,5,98,3,3513,B
503,359,8,7,7,9,NO,0,74,5,93,4,4431,B
504,316,8,7,7,8,NO,0,97,5,45,1,4507,B
505,357,7,6,5,6,YES,70,98,4,67,2,4357,C
506,292,9,6,5,7,NO,0,112,6,100,2,3935,B
507,309,8,6,5,7,YES,93,115,6,41,3,3909,C
508,292,7,5,5,6,NO,0,112,3,41,1,3512,D
509,309,9,7,7,8,YES,110,112,7,42,2,4382,A
510,311,9,8,7,8,NO,0,111,5,52,3,4469,B
511,305,6,4,4,5,YES,98,88,4,84,2,2927,D
512,302,5,3,3,4,YES,83,86,3,85,6,2950,D
513,320,6,5,5,6,YES,100,93,2,60,1,3120,D
514,295,9,6,5,6,YES,110,107,5,61,5,4379,B
515,344,8,6,6,7,YES,78,103,6,92,6,4085,B
516,295,8,6,6,7,NO,0,98,4,95,4,3769,C
517,303,9,7,6,8,YES,115,98,6,74,4,3962,A
518,301,8,7,6,7,NO,0,109,4,99,1,3862,C
519,310,5,2,1,3,YES,91,87,1,79,2,2823,D
520,295,6,3,3,4,YES,78,120,4,60,3,3037,D
521,347,7,6,6,7,NO,0,81,5,74,1,4184,C
522,353,5,2,2,3,YES,110,96,3,51,5,3583,D
523,329,6,5,4,6,NO,0,103,2,96,4,3208,D
524,333,6,3,3,5,YES,97,111,3,53,1,3054,D
525,355,5,2,1,2,YES,83,112,2,46,6,3180,D
526,325,7,5,5,6,YES,99,96,3,96,6,3411,C
527,317,6,5,5,6,NO,0,108,3,93,1,3881,D
528,315,5,3,2,4,NO,0,76,2,66,6,3417,D
529,339,6,5,4,6,NO,0,97,3,46,1,4023,D
530,298,7,5,5,7,NO,0,80,4,78,1,3694,D
531,312,5,4,4,6,NO,0,72,3,91,4,3196,D
532,322,9,8,8,10,NO,0,74,6,94,1,4742,A
533,330,5,4,3,4,YES,77,87,3,64,1,2779,D
534,335,9,6,6,8,YES,73,95,7,85,5,4551,A
535,324,7,4,3,5,NO,0,109,5,75,2,4056,D
536,327,8,5,4,6,NO,0,88,4,49,6,3708,C
537,311,9,8,8,10,YES,99,78,5,50,1,4019,A
538,328,7,4,3,5,YES,100,73,5,59,1,4119,C
539,322,9,6,6,8,YES,109,70,5,62,4,4636,B
540,349,9,6,5,6,NO,0,90,5,80,6,4481,B
541,314,6,5,5,6,YES,85,120,2,62,5,3844,D
542,322,7,4,3,5,YES,96,94,3,54,3,3630,D
543,348,6,3,3,4,YES,81,72,2,80,1,4074,D
544,349,6,5,4,5,NO,0,93,3,92,2,3114,D
545,311,6,3,3,5,NO,0,113,3,71,4,3270,D
546,315,5,3,2,3,NO,0,102,3,60,2,3159,D
547,305,6,4,4,6,NO,0,111,3,94,2,3164,D
548,348,9,8,7,9,NO,0,111,7,49,5,4787,A
549,343,9,8,7,9,YES,95,105,7,62,1,4782,A
550,360,6,3,2,4,NO,0,115,4,89,5,3734,D
551,293,9,8,8,10,YES,78,102,5,64,2,4020,A
552,315,6,5,5,7,NO,0,71,2,87,5,3791,D
553,356,8,7,7,8,YES,71,71,4,77,6,4732,B
554,356,8,5,4,5,YES,116,76,6,53,3,4119,B
555,350,9,8,8,9,YES,117,116,7,50,2,4910,A
556,341,9,7,6,7,NO,0,96,5,97,4,4239,B
557,335,7,4,4,5,YES,117,107,5,76,3,4000,C
558,290,8,6,5,7,NO,0,111,6,80,4,3765,C
559,303,9,8,8,10,YES,104,83,5,99,3,4210,A
560,353,8,6,6,7,YES,95,105,6,80,6,4249,B
561,291,7,6,5,7,NO,0,80,4,45,6,3678,D
562,344,7,4,3,5,NO,0,112,5,98,2,3925,C
563,320,5,3,3,5,YES,74,103,2,96,1,2755,D
564,311,5,4,4,5,NO,0,82,3,92,1,3266,D
565,332,7,6,6,7,YES,75,92,3,92,3,3690,C
566,334,6,4,3,4,NO,0,112,2,54,1,3510,D
567,291,8,6,6,7,NO,0,106,5,46,2,3549,C
568,297,8,5,4,5,NO,0,120,5,72,5,4162,C
569,297,5,2,1,3,NO,0,74,2,100,1,2701,E
570,350,8,5,5,7,YES,87,102,6,44,1,4709,B
571,350,8,6,5,7,YES,96,115,5,82,1,4300,B
572,290,6,4,4,5,YES,75,110,3,84,2,2944,D
573,316,7,5,5,6,YES,94,102,5,71,4,4013,C
574,290,8,7,6,8,NO,0,100,6,62,6,4219,C
575,316,9,7,7,8,NO,0,119,5,69,3,4088,B
576,332,7,4,4,6,YES,108,95,4,53,3,4075,C
577,308,8,5,4,6,NO,0,74,6,73,3,3825,C
578,324,8,7,6,8,YES,104,114,4,86,6,4292,B
579,340,6,4,4,5,NO,0,77,4,51,1,3427,D
580,292,6,3,2,4,NO,0,117,3,47,1,3184,E
581,335,5,4,4,5,YES,96,116,3,47,6,2858,D
582,305,7,4,3,4,YES,76,77,4,59,3,3544,D
583,292,8,7,7,8,NO,0,119,6,48,2,4065,B
584,324,8,6,5,6,NO,0,112,4,90,4,4474,C
585,346,6,5,4,6,YES,81,80,3,74,5,3365,C
586,357,9,8,7,8,NO,0,120,6,50,4,5153,A
587,315,7,5,5,6,YES,70,73,3,53,6,3624,D
588,302,6,5,4,5,NO,0,95,3,100,6,3472,D
589,356,6,5,5,6,YES,91,89,4,56,5,3782,C
590,306,9,7,6,8,YES,70,105,5,72,2,4598,B
591,323,7,5,5,7,NO,0,112,5,80,3,4078,C
592,328,6,5,4,6,YES,102,109,4,96,4,3719,C
593,310,5,3,2,4,NO,0,112,3,91,6,3035,D
594,313,8,5,4,6,NO,0,84,5,72,4,4338,C
595,333,7,5,4,6,NO,0,94,3,95,5,3885,C
596,302,8,5,5,7,NO,0,93,5,84,3,4273,C
597,307,9,8,8,9,NO,0,95,6,77,5,4574,A
598,305,8,6,6,8,YES,94,74,4,64,5,4190,C
599,351,6,3,3,5,NO,0,82,4,69,4,3547,D
600,333,9,6,5,7,YES,105,109,6,80,2,4346,B
601,325,9,7,6,8,NO,0,118,6,60,3,4053,B
602,335,7,6,6,8,NO,0,76,5,57,5,4104,C
603,320,5,2,1,2,NO,0,116,2,75,5,3317,D
604,357,6,3,2,4,YES,79,116,4,47,5,3748,D
605,346,8,6,5,7,YES,114,74,5,70,1,4371,B
606,313,9,7,6,7,YES,109,100,5,83,1,3996,B
607,329,7,4,3,5,YES,75,97,3,64,3,3406,D
608,353,7,6,5,6,NO,0,97,3,83,5,4212,C
609,308,7,4,4,5,YES,98,80,4,68,4,3464,D
610,328,6,3,3,4,NO,0,112,3,100,3,3750,D
611,350,8,6,5,7,YES,116,82,6,80,5,3838,B
612,296,9,7,7,8,YES,87,110,5,79,5,4296,A
613,334,9,8,8,9,YES,107,73,6,54,6,4578,A
614,322,5,4,4,6,YES,76,103,3,40,5,2749,D
615,316,8,6,5,7,NO,0,111,6,41,4,3574,C
616,294,8,5,5,6,NO,0,110,5,100,4,4324,C
617,325,6,4,3,5,NO,0,75,2,74,4,3535,D
618,315,8,7,6,8,YES,74,105,4,69,5,4198,B
619,331,8,6,5,7,YES,86,89,6,76,5,4163,B
620,352,9,8,7,9,YES,120,73,7,42,4,4821,A
621,351,5,2,1,2,NO,0,87,3,77,1,3579,D
622,332,7,4,4,6,YES,87,104,4,89,4,3354,C
623,304,8,7,7,8,YES,103,104,4,63,4,4346,B
624,344,7,4,3,4,NO,0,89,5,51,5,3855,D
625,358,6,4,3,4,NO,0,97,2,50,5,3701,D
626,300,7,5,5,7,NO,0,76,5,64,5,3791,D
627,331,7,6,5,7,NO,0,119,3,83,4,3435,C
628,341,8,7,7,8,NO,0,96,5,93,2,4606,B
629,332,9,7,7,8,YES,88,97,6,65,5,4543,A
630,348,9,6,6,7,NO,0,97,6,78,4,4201,B
631,321,7,4,3,4,YES,101,107,5,89,6,4015,C
632,323,8,6,6,8,NO,0,83,5,81,5,4376,C
633,341,5,2,2,3,NO,0,89,3,93,6,3669,D
634,306,8,5,4,6,YES,88,106,4,72,6,4376,C
635,330,8,5,5,7,YES,112,95,6,64,4,4190,B
636,290,9,7,6,8,YES,91,99,5,42,1,4336,B
637,293,7,4,3,4,NO,0,92,5,70,1,3933,D
638,297,5,2,1,2,YES,104,101,2,81,5,3073,D
639,350,7,6,5,7,YES,113,87,4,90,1,3672,B
640,329,6,5,4,6,YES,112,73,4,87,6,3734,C
641,304,5,2,2,4,NO,0,70,2,97,3,3303,D
642,346,9,7,7,8,NO,0,83,5,81,1,4968,A
643,340,8,7,6,7,NO,0,109,4,52,2,3910,B
644,320,8,5,5,6,YES,98,73,4,59,1,4021,C
645,311,5,3,2,3,YES,72,104,2,100,4,2943,D
646,339,8,5,4,6,NO,0,78,5,96,5,3848,C
647,302,7,4,3,5,NO,0,96,4,68,3,3462,D
648,333,5,2,1,2,NO,0,115,1,66,3,3275,D
649,357,9,6,5,6,YES,73,87,6,86,3,4474,B
650,320,6,4,3,5,NO,0,116,3,87,6,3038,D
651,331,9,7,7,8,NO,0,93,5,49,1,4045,B
652,325,5,3,2,4,NO,0,119,2,96,3,3519,D
653,324,6,3,3,4,NO,0,78,4,66,2,3023,D
654,328,9,7,6,7,NO,0,101,6,99,2,4507,B
655,303,8,6,5,6,YES,107,84,5,75,4,3526,C
656,333,7,6,5,6,YES,115,87,3,87,1,4326,C
657,312,6,3,3,4,NO,0,118,3,94,6,3680,D
658,341,9,6,6,8,NO,0,103,7,85,4,4595,A
659,349,7,5,5,6,YES,87,105,4,42,5,3883,C
660,348,8,5,4,5,YES,81,94,5,60,4,4088,C
661,332,7,6,5,7,YES,96,118,4,58,6,3611,C
662,360,8,6,6,8,NO,0,99,6,52,1,4286,B
663,353,7,5,4,6,NO,0,75,4,45,4,3777,D
664,320,7,4,4,5,YES,92,73,3,65,3,3837,D
665,346,8,5,4,5,YES,75,107,6,71,1,4165,B
666,302,9,7,7,9,NO,0,115,6,67,5,4247,B
667,301,6,5,4,6,NO,0,89,2,73,6,3640,D
668,300,6,4,3,4,NO,0,112,2,58,1,3544,D
669,346,5,3,2,4,YES,89,79,2,54,1,3538,D
670,307,9,7,7,8,YES,87,105,5,43,4,4197,B
671,297,8,7,6,7,YES,85,81,4,58,4,3931,C
672,314,9,6,5,7,YES,111,118,6,65,5,4019,B
673,315,8,7,7,9,YES,111,84,5,71,5,3793,B
674,355,7,5,5,6,NO,0,103,5,84,5,4003,C
675,358,7,4,3,5,NO,0,109,5,89,5,4404,C
676,321,5,4,3,4,YES,112,73,3,43,2,3587,D
677,328,5,4,3,4,NO,0,78,3,44,6,2867,D
678,356,7,6,5,7,NO,0,100,3,91,2,4339,C
679,294,7,5,5,6,NO,0,88,4,57,4,3747,D
680,319,9,6,6,8,YES,112,71,5,97,4,4084,B
681,304,9,6,6,8,NO,0,100,6,80,4,3864,B
682,341,6,4,3,5,NO,0,89,3,73,1,3407,D
683,343,8,6,5,7,NO,0,96,6,58,4,4217,C
684,332,9,6,6,8,YES,116,100,6,92,6,4003,A
685,315,7,5,5,7,YES,112,112,5,92,5,3648,C
686,305,8,6,6,8,YES,74,116,4,98,3,3829,B
687,350,5,3,3,5,NO,0,116,3,46,2,2918,D
688,308,9,7,6,8,NO,0,104,6,94,2,4610,B
689,333,8,6,5,7,NO,0,78,6,97,4,4299,B
690,331,6,4,3,5,YES,85,86,3,96,2,3385,D
691,300,5,2,1,3,YES,82,88,3,59,3,2583,D
692,301,5,3,2,3,YES,72,119,3,44,6,2639,D
693,319,6,3,2,3,NO,0,111,3,80,5,3562,D
694,330,7,5,4,5,NO,0,118,5,71,5,4151,C
695,317,9,6,5,6,YES,119,95,7,77,1,4776,B
696,312,6,5,4,5,NO,0,87,4,72,3,3096,D
697,321,9,6,5,6,YES,96,82,5,96,5,4153,B
698,310,9,7,6,7,NO,0,112,7,77,3,4098,B
699,321,5,4,3,4,NO,0,98,2,64,4,3420,D
700,330,5,2,2,4,YES,115,88,3,98,3,3388,D
701,321,9,7,6,7,NO,0,92,7,70,6,4410,B
702,341,6,3,2,3,YES,88,117,4,90,3,3175,C
703,337,6,3,3,5,YES,70,106,2,48,2,3352,D
704,325,9,8,8,9,NO,0,88,7,77,3,4679,A
705,290,8,6,5,6,NO,0,87,6,42,5,4210,C
706,327,9,6,5,6,NO,0,80,5,46,5,4864,C
707,294,6,4,4,6,YES,87,106,2,84,5,2983,D
708,357,7,5,5,6,NO,0,98,4,59,2,3764,C
709,291,5,3,2,3,YES,74,75,3,66,2,3039,D
710,325,9,6,5,7,NO,0,94,7,59,2,4358,B
711,296,8,5,5,6,NO,0,74,5,58,6,3442,C
712,335,6,5,5,6,NO,0,112,4,71,2,3088,D
713,294,8,5,4,5,NO,0,91,4,66,2,4337,D
714,297,7,4,3,5,YES,106,107,5,100,2,3433,C
715,357,9,8,7,9,NO,0,106,5,44,3,4466,A
716,336,5,4,3,4,YES,71,80,1,52,6,3359,D
717,335,5,3,3,4,YES,114,112,3,40,5,3079,D
718,323,9,6,5,6,NO,0,96,6,58,4,4024,B
719,324,5,2,2,3,YES,93,92,3,97,3,3328,D
720,301,7,5,5,6,NO,0,119,5,66,6,3318,D
721,358,5,2,2,4,YES,117,120,3,69,5,2946,D
722,308,8,6,5,7,YES,103,73,5,83,2,4122,C
723,350,8,6,5,6,YES,104,79,6,84,6,3874,B
724,330,9,7,7,8,YES,90,100,5,55,1,4219,A
725,300,6,4,3,4,NO,0,116,2,75,5,3212,D
726,322,5,4,3,5,YES,72,108,3,41,2,3468,D
727,356,5,2,2,3,YES,120,97,1,46,2,3401,D
728,338,7,4,3,4,NO,0,95,3,94,6,4034,D
729,292,9,8,8,10,YES,97,91,6,92,6,4087,A
730,353,5,3,3,5,NO,0,87,3,85,3,3730,D
731,303,9,6,6,7,NO,0,76,6,77,1,4298,B
732,307,7,6,5,7,YES,87,85,3,69,4,4025,C
733,358,6,5,4,6,NO,0,91,4,81,4,3843,C
734,293,6,4,3,5,YES,96,95,2,82,2,3462,D
735,310,9,7,6,8,NO,0,113,6,92,1,4510,B
736,322,8,6,5,6,NO,0,77,6,96,5,4479,C
737,311,8,7,7,9,YES,85,82,4,48,5,3585,B
738,290,7,6,5,6,YES,92,92,5,60,4,3069,C
739,328,9,6,5,6,NO,0,108,6,60,4,4136,B
740,326,5,2,1,3,NO,0,87,3,63,3,3115,D
741,303,7,5,4,6,YES,96,86,3,43,1,3633,D
742,319,7,5,4,5,NO,0,90,5,74,6,3515,D
743,354,5,3,3,4,YES,94,107,1,89,5,3629,D
744,359,6,5,4,5,NO,0,94,2,66,5,3979,D
745,315,8,6,5,6,NO,0,97,6,50,6,4494,C
746,334,8,7,6,8,YES,91,76,6,96,3,4309,B
747,309,9,8,7,9,YES,97,72,7,40,2,4205,A
748,294,9,6,5,7,NO,0,84,6,74,5,4328,C
749,310,9,7,6,7,YES,88,117,5,73,2,4333,B
750,353,9,8,8,10,YES,84,98,6,76,6,4661,A
751,315,5,4,4,5,NO,0,80,1,53,1,2662,D
752,339,5,3,3,5,NO,0,92,2,83,1,3588,D
753,290,6,5,5,7,YES,70,98,3,94,4,2877,D
754,319,9,7,7,9,YES,78,82,7,71,3,4413,A
755,290,5,2,1,2,YES,84,82,1,49,1,2603,E
756,297,7,5,5,7,NO,0,85,3,98,4,3354,D
757,323,7,6,6,7,YES,70,102,3,81,6,4135,C
758,322,5,3,3,4,YES,74,112,1,43,2,3136,D
759,355,8,7,7,8,NO,0,116,6,80,3,4520,B
760,346,9,6,5,7,NO,0,108,6,75,1,4215,B
761,303,8,5,5,6,YES,79,102,5,96,5,3692,C
762,343,5,4,3,5,YES,94,76,1,42,5,3351,D
763,346,5,3,3,5,NO,0,95,3,45,1,3044,D
764,290,6,4,4,5,YES,86,114,2,99,3,2971,D
765,308,5,3,2,3,YES,104,104,3,65,4,2658,D
766,342,6,5,5,7,YES,113,118,2,100,2,3176,C
767,306,6,4,3,5,YES,116,118,2,77,1,2844,D
768,315,7,6,6,7,NO,0,89,5,74,3,4128,C
769,315,5,2,1,2,NO,0,78,3,86,5,2675,D
770,344,8,7,7,9,NO,0,108,5,72,3,4047,B
771,317,8,6,6,8,YES,86,92,6,73,3,3738,B
772,326,9,8,7,8,YES,80,86,7,42,5,4047,A
773,338,8,6,5,6,YES,93,91,5,88,1,4587,B
774,346,7,6,6,8,YES,90,107,4,100,6,4411,B
775,290,8,6,5,6,YES,110,104,4,97,2,4213,C
776,320,6,3,3,5,NO,0,82,4,58,4,3724,D
777,345,8,6,6,8,NO,0,96,6,60,6,3998,B
778,319,7,4,3,5,NO,0,76,5,45,3,3610,D
779,321,8,5,4,6,YES,91,118,5,52,5,3570,C
780,321,8,6,6,8,YES,106,114,6,68,4,3893,B
781,321,9,7,7,8,YES,117,95,5,63,2,4198,A
782,309,6,3,3,4,NO,0,89,3,79,5,3716,D
783,360,7,6,5,7,NO,0,75,4,42,5,4232,C
784,322,7,6,6,8,YES,120,116,5,59,4,4222,B
785,343,7,5,5,7,YES,97,71,3,64,6,3903,C
786,320,9,7,7,8,NO,0,105,5,98,6,4598,A
787,314,5,4,3,4,YES,116,86,3,86,2,3046,D
788,302,5,4,4,5,YES,114,73,1,93,3,3178,D
789,313,5,2,2,3,YES,71,83,2,53,4,3140,D
790,335,9,8,8,9,YES,93,120,6,98,1,4380,A
791,356,5,3,3,4,NO,0,102,2,53,5,3522,D
792,338,6,4,3,5,NO,0,91,4,56,6,3523,D
793,344,9,8,8,9,NO,0,115,5,67,3,4467,A
794,293,8,5,4,5,NO,0,106,4,81,6,3917,C
795,332,5,4,4,6,NO,0,119,2,89,4,2913,D
796,358,5,4,4,5,NO,0,94,3,60,5,3471,D
797,295,8,5,5,7,YES,100,71,5,85,5,4269,C
798,331,6,4,3,5,YES,84,94,3,56,2,3418,D
799,349,5,4,3,4,NO,0,77,1,84,4,3514,D
800,360,7,6,6,7,YES,91,76,3,98,2,3661,B
801,357,8,7,7,8,NO,0,98,4,81,6,4568,B
802,318,8,6,6,7,NO,0,73,4,88,5,3659,C
803,297,8,5,4,5,YES,119,107,6,41,4,3473,C
804,300,6,5,4,6,NO,0,118,4,58,3,3387,D
805,312,6,3,3,5,YES,101,89,4,66,4,3074,D
806,321,8,7,6,7,NO,0,77,4,67,4,4354,C
807,304,7,4,4,5,YES,86,73,5,64,4,3679,D
808,315,6,3,3,4,NO,0,109,3,83,6,2927,D
809,357,6,5,5,7,NO,0,100,2,87,3,3561,C
810,342,5,3,2,4,YES,106,70,1,75,1,2999,D
811,317,7,6,6,8,NO,0,90,3,89,3,3237,C
812,360,8,6,6,7,YES,87,111,6,84,6,4417,B
813,297,5,3,3,4,NO,0,91,3,74,4,3074,E
814,309,7,5,5,6,YES,77,91,3,85,5,3502,C
815,304,8,7,7,9,YES,90,93,4,100,6,3521,B
816,350,8,7,6,7,YES,82,75,4,77,4,4398,B
817,302,5,3,2,3,NO,0,94,3,74,6,3191,D
818,344,5,4,4,6,YES,85,77,2,40,2,3598,D
819,356,5,2,1,2,NO,0,77,2,91,2,3111,D
820,316,9,7,7,9,YES,84,102,5,56,2,4306,A
821,297,7,5,5,6,YES,93,103,4,93,5,3310,C
822,332,9,7,7,8,YES,115,104,5,67,3,4484,A
823,308,8,7,7,8,YES,99,106,6,87,2,3926,B
824,358,6,3,3,4,YES,120,99,4,67,4,3787,C
825,336,9,8,8,9,YES,70,78,7,73,1,4927,A
826,337,9,7,6,7,YES,109,98,7,64,4,4281,A
827,335,5,2,1,2,YES,113,99,2,57,2,3194,D
828,300,5,2,1,3,NO,0,120,3,67,5,2947,E
829,347,9,8,8,9,NO,0,91,6,63,5,4834,A
830,341,7,5,5,6,YES,98,116,5,45,2,3597,C
831,354,5,3,3,4,NO,0,75,1,46,5,3094,D
832,311,9,7,7,9,NO,0,83,6,85,6,4446,A
833,347,8,6,6,8,YES,87,80,6,52,1,4755,B
834,357,9,8,7,8,YES,79,93,6,83,6,4584,A
835,345,6,3,3,4,NO,0,99,4,69,1,3503,D
836,339,5,4,3,5,YES,74,92,1,56,1,3306,D
837,348,9,8,8,10,YES,78,80,5,53,1,4472,A
838,359,8,7,7,8,YES,97,93,5,41,1,4314,B
839,325,7,5,5,7,YES,101,106,4,60,1,3324,C
840,320,9,8,7,8,NO,0,105,6,69,6,4096,A
841,312,9,7,7,8,YES,115,101,7,45,6,3842,A
842,359,9,7,7,9,YES,83,97,5,70,2,5200,A
843,324,8,6,6,8,NO,0,77,4,65,6,4246,C
844,290,9,8,8,9,NO,0,94,6,100,2,4453,A
845,312,5,2,1,2,NO,0,70,3,59,5,3162,E
846,333,8,7,7,9,NO,0,90,5,41,4,3797,B
847,352,7,5,5,7,NO,0,98,4,55,5,3821,C
848,319,9,6,5,6,YES,114,90,5,93,4,4046,B
849,339,6,3,2,3,NO,0,82,2,42,4,3648,D
850,313,5,2,2,3,YES,86,94,1,40,2,3006,D
851,344,8,7,7,9,NO,0,105,6,63,2,3816,B
852,347,6,5,4,5,YES,84,114,3,86,1,3822,C
853,300,5,4,3,4,YES,99,83,1,62,4,3402,D
854,300,6,3,2,4,NO,0,99,3,92,5,3780,D
855,333,8,7,7,8,YES,110,72,5,88,6,4418,B
856,344,6,4,3,5,NO,0,75,3,99,5,3488,D
857,330,5,4,3,5,YES,111,115,3,82,1,2880,D
858,348,7,4,3,4,YES,106,96,3,59,3,4396,C
859,291,5,3,2,3,YES,120,74,1,59,3,2535,D
860,305,5,4,3,4,YES,71,102,3,65,4,3025,D
861,349,6,3,3,4,YES,110,119,4,41,4,3172,D
862,300,7,4,3,4,NO,0,90,5,46,6,3682,D
863,294,6,5,4,6,YES,107,74,2,85,1,2953,D
864,358,5,2,1,3,YES,70,115,1,66,4,2959,D
865,321,5,2,2,4,YES,74,108,3,60,5,2835,D
866,311,9,8,8,9,YES,116,117,6,60,5,4563,A
867,354,9,8,8,9,NO,0,94,7,81,3,4681,A
868,335,5,4,4,6,YES,86,107,2,82,5,3251,D
869,360,7,4,3,4,YES,96,115,3,69,1,3966,C
870,349,5,2,1,2,YES,85,108,1,51,4,3211,D
871,310,6,5,4,5,YES,91,115,2,73,4,3183,D
872,314,7,4,3,5,NO,0,87,3,90,1,3519,D
873,327,9,6,6,7,NO,0,111,6,66,1,4322,B
874,351,9,6,6,7,NO,0,87,5,59,1,4701,B
875,349,9,6,5,7,NO,0,83,6,78,2,4803,B
876,298,5,3,3,5,NO,0,82,2,94,1,2583,D
877,336,8,5,5,6,YES,75,117,6,66,3,4679,B
878,294,8,7,7,8,NO,0,72,5,82,6,3767,B
879,328,6,5,5,6,NO,0,72,3,54,2,3758,D
880,305,7,6,5,7,NO,0,114,3,51,1,4019,D
881,335,8,7,6,8,NO,0,106,4,54,1,3689,B
882,354,7,6,6,7,NO,0,93,5,49,3,4223,C
883,348,9,6,6,7,YES,116,85,7,63,6,4335,A
884,313,6,5,5,7,NO,0,73,4,49,4,3540,D
885,293,9,8,8,9,NO,0,114,5,82,6,4628,A
886,340,7,4,4,5,NO,0,117,4,42,6,3706,D
887,354,8,5,4,5,NO,0,90,5,60,3,4659,C
888,340,9,8,8,10,NO,0,79,5,67,4,5041,A
889,353,5,4,4,5,YES,71,109,3,91,2,3254,D
890,337,7,5,4,5,NO,0,79,5,51,4,3568,D
891,333,9,6,6,8,NO,0,114,7,44,5,4554,B
892,350,5,4,3,5,YES,96,70,2,63,4,3195,D
893,359,7,5,4,6,YES,105,103,5,48,6,3546,C
894,348,6,5,5,7,NO,0,96,3,51,5,3362,D
895,319,5,4,4,5,NO,0,111,3,79,5,3330,D
896,344,7,6,6,8,NO,0,90,5,42,2,4403,C
897,291,5,2,2,3,YES,73,82,1,72,2,2619,D
898,296,8,7,7,8,YES,72,76,5,61,4,4244,B
899,306,7,6,6,8,YES,114,111,4,62,3,3596,C
900,291,8,7,6,7,NO,0,105,5,86,3,4053,C
901,360,9,7,6,7,YES,76,89,7,61,1,4400,A
902,294,6,5,5,7,YES,115,103,2,80,5,3361,D
903,315,5,4,3,4,NO,0,104,2,68,4,2702,D
904,335,6,3,2,4,YES,87,74,2,64,1,3403,D
905,306,5,4,3,4,NO,0,114,3,71,5,3179,D
906,295,8,5,4,6,NO,0,71,6,77,5,4039,C
907,292,6,4,4,6,NO,0,73,4,80,4,3625,D
908,310,8,6,6,8,NO,0,77,6,74,6,4432,C
909,340,6,3,2,4,YES,115,92,4,80,5,3455,D
910,324,9,7,7,9,NO,0,76,7,85,4,4230,A
911,326,8,7,6,8,NO,0,108,4,96,6,3890,B
912,303,9,7,7,8,NO,0,111,6,56,1,4210,B
913,295,8,6,6,8,NO,0,105,5,85,6,3459,C
914,355,5,2,1,2,YES,82,112,3,72,3,3330,D
915,304,8,6,5,6,YES,118,114,6,61,6,4284,B
916,298,8,5,5,6,NO,0,74,5,81,2,4078,C
917,359,8,6,6,7,YES,90,119,5,71,6,4413,B
918,309,8,5,4,6,YES,118,70,4,55,2,4059,C
919,302,5,3,2,4,YES,117,81,1,56,6,3244,D
920,347,6,4,4,5,YES,91,95,3,91,2,3663,C
921,306,8,6,5,6,YES,103,80,5,86,4,4325,C
922,343,7,5,4,5,YES,116,70,3,99,4,4381,C
923,355,7,5,4,6,YES,108,108,5,67,3,4299,C
924,339,9,8,8,10,YES,82,84,5,94,1,4924,A
925,328,5,3,3,5,NO,0,87,3,52,5,2871,D
